word,freq,article_count,rank
justice department,2123,1100,362.5
later,2116,6454,364.0
provide,2113,4893,365.0
early,2102,8622,366.5
bring,2102,3757,366.5
threat,2101,5183,368.0
lost,2089,2820,369.0
noted,2083,1921,370.0
turkey,2080,1290,371.0
less,2072,8644,372.0
love,2071,2631,373.0
cut,2069,10727,374.5
experience,2069,2435,374.5
current,2066,4472,376.0
public,2065,16246,377.5
europe,2065,4061,377.5
looking,2055,2834,379.0
first time,2054,1811,380.0
said wednesday,2050,1905,381.0
consider,2049,5856,382.0
officer,2047,2967,383.0
network,2045,1998,384.0
sent,2035,12730,385.0
account,2033,3520,386.0
agreement,2028,3313,387.0
focus,2027,4160,388.0
organization,2020,3600,389.0
tell,2016,6629,390.5
target,2016,3360,390.5
term,2015,7557,392.0
resident,2013,22718,393.5
law enforcement,2013,1218,393.5
best,2011,3716,395.0
enough,2004,3626,396.0
car,2003,14722,397.0
july,2002,2634,398.5
share,2002,3460,398.5
climate change,2000,873,400.0
politician,1996,2120,401.0
chief executive,1995,1468,402.0
nothing,1994,2819,403.0
parent,1990,3537,404.0
perhaps,1978,1910,405.0
read,1976,9979,406.0
foreign policy,1973,1218,407.0
seemed,1965,1863,408.0
story,1963,5271,409.0
suggested,1959,2144,410.0
seek,1957,4662,411.0
school,1951,3399,412.0
everyone,1950,2032,413.0
republican presidential,1948,1704,414.5
health care,1948,973,414.5
act,1947,20925,416.0
said thursday,1945,1806,417.0
form,1934,17751,418.0
anything,1931,2480,419.5
foreign minister,1931,1478,419.5
longer,1925,2201,421.0
anyone,1916,2129,422.0
everything,1913,2113,423.0
needed,1910,2879,424.5
wanted,1910,3097,424.5
breitbart new,1907,1115,426.0
allowed,1905,2350,428.0
coming,1905,5202,428.0
ask,1905,9687,428.0
site,1897,4845,430.0
woman,1890,4419,431.0
victim,1885,1720,432.0
particularly,1882,2113,433.0
recent,1881,7607,434.0
presidential campaign,1873,1623,435.0
large,1871,7245,436.0
trying,1870,4063,437.5
wall street,1870,1238,437.5
executive order,1865,1075,439.0
potential,1861,3807,440.0
middle east,1857,1436,441.0
require,1855,3785,442.0
brought,1854,2438,443.0
son,1853,15529,444.0
quickly,1852,2225,445.0
figure,1849,2719,446.0
sander,1848,1505,447.0
said tuesday,1836,1711,448.0
try,1834,16482,449.5
center,1834,4656,449.5
almost,1832,3102,451.0
let,1831,9765,452.5
choice,1831,2131,452.5
leader,1828,10181,454.5
next year,1828,1428,454.5
involved,1827,2418,456.0
different,1824,3620,457.0
water,1820,2433,458.0
list,1817,8605,459.0
demand,1816,2717,460.0
became,1815,2794,461.0
away,1813,4448,462.0
parties,1810,2352,463.0
review,1804,2949,464.5
said friday,1804,1655,464.5
violence,1798,2383,466.0
adding,1794,3135,467.0
together,1790,3255,468.0
hour,1783,4049,469.0
media,1782,9029,470.0
showed,1765,3038,471.0
represent,1763,6833,472.5
germany,1763,1599,472.5
attempt,1761,3078,474.0
considered,1758,2061,475.0
understand,1757,2714,476.0
november,1756,2568,477.0
similar,1750,2971,478.0
france,1749,1576,479.0
ground,1738,4096,480.0
level,1734,4121,481.0
september,1733,1881,482.5
detail,1733,3238,482.5
agreed,1732,2805,484.0
police officer,1730,1062,485.0
california,1725,2200,486.0
simply,1722,1846,487.5
los angeles,1722,995,487.5
conversation,1721,1825,489.0
increase,1717,3443,490.5
behind,1717,3491,490.5
approach,1714,2585,492.0
december,1713,1845,493.0
series,1707,2282,494.0
local,1705,3731,495.0
percent,1704,6330,496.0
offered,1701,2012,497.0
south korea,1697,879,498.0
major,1695,8039,499.5
visit,1695,4065,499.5
